Roles	Engagement	Capability
POTUS	Deliver Remarks to the United Nations	15
POTUS	Deliver Remarks to the United Nations	16
POTUS	Deliver Remarks to the United Nations	20
POTUS	Deliver Remarks to the United Nations	21
POTUS	Deliver Remarks to the United Nations	24
POTUS	Deliver Remarks to the United Nations	25
POTUS	Deliver Remarks to the United Nations	26
POTUS	Deliver Remarks to the United Nations	27
POTUS	Deliver Remarks to the United Nations	41
POTUS	Deliver Remarks to the United Nations	49
POTUS	Deliver Remarks to the United Nations	50
POTUS	Deliver Remarks to the United Nations	53
POTUS	Deliver Remarks to the United Nations	58
POTUS	Deliver Remarks to the United Nations	59
POTUS	Deliver Remarks to the United Nations	84
POTUS	Deliver Remarks to the United Nations	85
POTUS	Deliver Remarks to the United Nations	93
POTUS	Deliver Remarks to the United Nations	95
POTUS	Deliver Remarks to the United Nations	96
POTUS	Deliver Remarks to the United Nations	97
POTUS	Deliver Remarks to the United Nations	101
POTUS	Deliver Remarks to the United Nations	114
POTUS	Deliver Remarks to the United Nations	115
POTUS	Deliver Remarks to the United Nations	120
POTUS	Deliver Remarks to the United Nations	123
POTUS	Deliver Remarks to the United Nations	124
POTUS	Deliver state-of-the-union address	135
POTUS	Deliver state-of-the-union address	136
POTUS	Deliver state-of-the-union address	138
POTUS	Deliver state-of-the-union address	139
POTUS	Deliver state-of-the-union address	141
POTUS	Deliver state-of-the-union address	144
POTUS	Deliver state-of-the-union address	145
POTUS	Deliver state-of-the-union address	152
POTUS	Deliver state-of-the-union address	154
POTUS	Deliver state-of-the-union address	10
POTUS	Deliver state-of-the-union address	21
POTUS	Deliver state-of-the-union address	24
POTUS	Deliver state-of-the-union address	26
POTUS	Deliver state-of-the-union address	41
POTUS	Deliver state-of-the-union address	50
POTUS	Deliver state-of-the-union address	56
POTUS	Deliver state-of-the-union address	59
POTUS	Deliver state-of-the-union address	60
POTUS	Deliver state-of-the-union address	65
POTUS	Deliver state-of-the-union address	69
POTUS	Deliver state-of-the-union address	81
POTUS	Deliver state-of-the-union address	83
POTUS	Deliver state-of-the-union address	84
POTUS	Deliver state-of-the-union address	93
POTUS	Deliver state-of-the-union address	96
POTUS	Deliver state-of-the-union address	97
POTUS	Deliver state-of-the-union address	98
POTUS	Deliver state-of-the-union address	101
POTUS	Deliver state-of-the-union address	104
POTUS	Deliver state-of-the-union address	107
POTUS	Deliver state-of-the-union address	108
POTUS	Deliver state-of-the-union address	110
POTUS	Deliver state-of-the-union address	114
POTUS	Deliver state-of-the-union address		115
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	127
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	135
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	136
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	137
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	138
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	140
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	141
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	146
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	148
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	149
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	150
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	151
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	152
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	153
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	154
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	156
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	6
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	10
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	12
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	13
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	15
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	16
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	20
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	21
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	23
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	24
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	25
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	26
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	27
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	41
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	43
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	45
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	46
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	48
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	49
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	50
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	51
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	53
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	58
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	59
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	81
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	84
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	85
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	95
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	96
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	97
